Code,DescKey,Dimension,Value,Confidence,IsProposedDimension,IsProposedValue,Timestamp
0000-01,17723,anatomic_site,abdomen,1.0,False,False,2025-06-25 08:36:17
0001-01,8133,analyte,hemoglobin_a1c,0.9,False,False,2025-06-25 08:36:21
0001-02,8133,analyte,hemoglobin_a1c,0.9,False,False,2025-06-25 08:36:21
0002-01,9863,analyte,cholesterol,0.9,False,False,2025-06-25 08:36:25
0002-01,9863,analyte,triglycerides,0.9,False,False,2025-06-25 08:36:25
0002-01,9863,test_type,lipid_panel,0.9,False,False,2025-06-25 08:36:25
0002-01,9863,analyte,hdl,0.8,False,True,2025-06-25 08:36:25
0002-01,9863,analyte,ldl,0.8,False,True,2025-06-25 08:36:25
0002-01,9863,analyte,vldl,0.8,False,True,2025-06-25 08:36:25
0003-01,519,anatomic_site,heart,0.9,False,False,2025-06-25 08:36:29
0003-01,519,contrast,both,0.9,False,False,2025-06-25 08:36:29
0003-01,519,procedure_type,echo,0.8,False,True,2025-06-25 08:36:29
0003-01,519,imaging_view,2d,0.8,False,True,2025-06-25 08:36:29
0003-02,519,diagnostic_tool,echocardiogram,0.9,False,False,2025-06-25 08:36:29
0003-02,519,anatomic_site,heart,0.9,False,False,2025-06-25 08:36:29
0003-02,519,diagnostic_tool,doppler,0.8,False,True,2025-06-25 08:36:29
0003-02,519,procedure_type,2d_echo,0.8,False,True,2025-06-25 08:36:29
0004-01,14860,analyte,thyroxine,0.9,False,False,2025-06-25 08:36:35
0004-01,14860,analyte,triiodothyronine,0.9,False,False,2025-06-25 08:36:35
0004-01,14860,analyte,thyroid_stimulating_hormone,0.9,False,False,2025-06-25 08:36:35
0004-01,14860,test_type,functional_test,0.8,False,False,2025-06-25 08:36:35
0005-01,17587,anatomic_site,uterus,0.9,False,False,2025-06-25 08:36:39
0005-01,17587,anatomic_site,transvaginal,0.9,False,True,2025-06-25 08:36:39
0006-01,503,anatomic_site,heart,0.9,False,False,2025-06-25 08:36:43
0006-01,503,procedure_type,echo,0.8,False,True,2025-06-25 08:36:43
0006-01,503,imaging_view,2d,0.7,False,True,2025-06-25 08:36:43
0006-01,503,imaging_view,color_doppler,0.9,False,True,2025-06-25 08:36:43
0006-02,503,diagnostic_tool,echocardiogram,0.9,False,False,2025-06-25 08:36:43
0006-02,503,anatomic_site,heart,0.9,False,False,2025-06-25 08:36:43
0006-02,503,diagnostic_tool,color_doppler,0.8,False,True,2025-06-25 08:36:43
0007-01,9838,analyte,cholesterol,0.9,False,False,2025-06-25 08:36:48
0007-01,9838,analyte,triglycerides,0.9,False,False,2025-06-25 08:36:48
0007-01,9838,test_type,lipid_panel,0.95,False,False,2025-06-25 08:36:48
0008-01,66,analyte,platelet_count,0.9,False,False,2025-06-25 08:36:51
0008-01,66,test_type,microscopy,0.7,False,False,2025-06-25 08:36:51
0009-01,13778,analyte,alanine_aminotransferase,0.9,False,False,2025-06-25 08:36:55
0009-01,13778,analyte,serum_glutamic_pyruvic_transaminase,0.8,False,True,2025-06-25 08:36:55
0010-01,18205,vaccine_type,rabies,0.9,False,False,2025-06-25 08:36:59
0010-01,18205,procedure_type,vaccine,0.8,False,True,2025-06-25 08:36:59
0011-01,117,analyte,glucose,0.9,False,False,2025-06-25 08:37:02
0012-01,57,analyte,blood_urea_nitrogen,0.9,False,False,2025-06-25 08:37:05
0012-01,57,analyte,uric_acid,0.9,False,True,2025-06-25 08:37:05
0013-01,3970,analyte,creatinine,0.95,False,False,2025-06-25 08:37:08
0014-01,63,analyte,hemoglobin,0.9,False,False,2025-06-25 08:37:11
0014-01,63,analyte,complete_blood_count,0.8,False,True,2025-06-25 08:37:11
0015-01,6664,diagnostic_tool,electrocardiogram,0.9,False,False,2025-06-25 08:37:14
0015-01,6664,diagnostic_tool,12_lead_ecg,0.8,False,True,2025-06-25 08:37:14
0016-01,13829,analyte,potassium,0.95,False,False,2025-06-25 08:37:17
0017-01,13782,analyte,alanine_aminotransferase,0.9,False,False,2025-06-25 08:37:19
0017-01,13782,analyte,aspartate_aminotransferase,0.9,False,True,2025-06-25 08:37:19
0018-01,4423,anatomic_site,abdomen,0.9,False,False,2025-06-25 08:37:23
0019-01,2468,analyte,blood_urea_nitrogen,1.0,False,False,2025-06-25 08:37:26
0020-01,9211,analyte,calcium_ionized,0.9,False,False,2025-06-25 08:37:29
0021-01,14099,analyte,sodium,0.95,False,False,2025-06-25 08:37:32
0022-01,204,analyte,thyroid_stimulating_hormone,0.95,False,False,2025-06-25 08:37:34
0023-01,6150,analyte,dengue,0.9,False,True,2025-06-25 08:37:37
0023-01,6150,test_type,ns1,0.9,False,True,2025-06-25 08:37:37
0024-01,21020,imaging_view,posterior_anterior_view,0.9,False,False,2025-06-25 08:37:40
0024-01,21020,view_count,11x14,0.7,False,True,2025-06-25 08:37:40
0025-01,13548,test_type,urinalysis,0.9,False,False,2025-06-25 08:37:43
0026-01,12291,material_type,amalgam,0.9,False,False,2025-06-25 08:37:46
0026-01,12291,material_type,glass_ionomer,0.9,False,False,2025-06-25 08:37:46
0026-01,12291,material_type,light_cure,0.8,False,True,2025-06-25 08:37:46
0026-01,12291,procedure_scope,permanent_filling_per_tooth,0.9,True,True,2025-06-25 08:37:46
0027-01,4386,contrast,without_contrast,0.9,False,False,2025-06-25 08:37:49
0027-01,4386,anatomic_site,stone,0.7,False,True,2025-06-25 08:37:49
0028-01,233,diagnostic_tool,electrocardiogram,0.9,False,False,2025-06-25 08:37:52
0028-01,233,anatomic_site,lead,0.7,False,True,2025-06-25 08:37:52
0029-01,87,analyte,creatinine,1.0,False,False,2025-06-25 08:37:55
0030-01,9654,procedure_type,therapeutic,0.9,False,False,2025-06-25 08:37:58
0030-01,9654,anatomic_site,gallbladder,0.9,False,False,2025-06-25 08:37:58
0030-01,9654,scope_type,laparoscope,0.9,False,True,2025-06-25 08:37:58
0030-02,9654,procedure_type,therapeutic,0.9,False,False,2025-06-25 08:37:58
0030-02,9654,anatomic_site,gallbladder,0.9,False,False,2025-06-25 08:37:58
0030-03,9654,device_type,scope,0.9,False,False,2025-06-25 08:37:58
0030-03,9654,procedure_type,cholecystectomy,0.9,False,True,2025-06-25 08:37:58
0031-01,555,anatomic_site,heart,0.9,False,False,2025-06-25 08:38:06
0031-02,555,diagnostic_tool,echocardiogram,0.9,False,False,2025-06-25 08:38:06
0031-02,555,anatomic_site,heart,0.9,False,False,2025-06-25 08:38:06
0032-01,302,diagnostic_tool,holter_monitor,0.9,False,False,2025-06-25 08:38:12
0032-02,302,method,monitoring,0.9,False,True,2025-06-25 08:38:12
0032-02,302,anatomic_site,heart,0.8,False,True,2025-06-25 08:38:12
0033-01,12810,analyte,prostate_specific_antigen,0.95,False,False,2025-06-25 08:38:17
0033-02,12810,analyte,prostate_specific_antigen,1.0,False,False,2025-06-25 08:38:17
0033-03,12810,anatomic_site,prostate,0.9,False,False,2025-06-25 08:38:17
0034-01,7655,analyte,thyroxine,0.9,False,False,2025-06-25 08:38:23
0035-01,335,procedure_type,diagnostic,0.9,False,False,2025-06-25 08:38:25
0035-01,335,diagnostic_tool,holter_monitor,0.9,False,False,2025-06-25 08:38:25
0035-01,335,anatomic_site,artery,0.7,False,False,2025-06-25 08:38:25
0035-02,335,anatomic_site,artery,0.9,False,False,2025-06-25 08:38:25
0035-02,335,method,ambulatory,0.8,False,True,2025-06-25 08:38:25
0036-01,11450,test_type,molecular,0.9,False,False,2025-06-25 08:38:33
0036-01,11450,organism_target,mycobacteria,0.9,False,False,2025-06-25 08:38:33
0036-02,11450,test_type,molecular,0.9,False,False,2025-06-25 08:38:33
0036-02,11450,target_gene_or_locus,mtb,0.8,False,True,2025-06-25 08:38:33
0036-02,11450,target_gene_or_locus,rif,0.8,False,True,2025-06-25 08:38:33
0037-01,4437,anatomic_site,abdomen,0.9,False,False,2025-06-25 08:38:40
0037-01,4437,contrast,with_contrast,0.9,False,False,2025-06-25 08:38:40
0038-01,13908,analyte,alanine_aminotransferase,0.9,False,False,2025-06-25 08:38:44
0039-01,3083,analyte,cbc,0.9,False,True,2025-06-25 08:38:48
0040-01,2673,analyte,bua,0.9,False,True,2025-06-25 08:38:52
0041-01,144,analyte,potassium,1.0,False,False,2025-06-25 08:38:57
0042-01,11930,procedure_type,prophylaxis,0.9,False,True,2025-06-25 08:39:01
0043-01,6957,procedure_type,therapeutic,0.9,False,False,2025-06-25 08:39:05
0043-01,6957,anatomic_site,kidney,0.9,False,False,2025-06-25 08:39:05
0043-02,6957,procedure_type,therapeutic,0.9,False,False,2025-06-25 08:39:05
0043-02,6957,anatomic_site,kidney,0.8,False,False,2025-06-25 08:39:05
0044-01,17951,analyte,albumin,0.9,False,False,2025-06-25 08:39:13
0044-01,17951,analyte,creatinine,0.9,False,False,2025-06-25 08:39:13
0044-01,17951,test_type,ratio,0.7,False,True,2025-06-25 08:39:13
0044-02,17951,analyte,albumin,0.9,False,False,2025-06-25 08:39:13
0044-02,17951,analyte,creatinine,0.9,False,False,2025-06-25 08:39:13
0044-02,17951,test_type,ratio,0.7,False,True,2025-06-25 08:39:13
0045-01,155,analyte,sodium,1.0,False,False,2025-06-25 08:39:20
0046-01,15237,analyte,prostate_specific_antigen,1.0,False,False,2025-06-25 08:39:24
0046-02,15237,analyte,prostate_specific_antigen,0.95,False,False,2025-06-25 08:39:24
0046-03,15237,anatomic_site,prostate,0.9,False,False,2025-06-25 08:39:24
0047-01,7562,analyte,triiodothyronine,0.9,False,False,2025-06-25 08:39:34
0048-01,11147,anatomic_site,spinal_cord,0.9,False,False,2025-06-25 08:39:39
0048-01,11147,contrast,without_contrast,0.9,False,False,2025-06-25 08:39:39
0048-01,11147,anatomic_site,lumbosacral,0.8,False,True,2025-06-25 08:39:39
0049-01,203,analyte,thyroid_stimulating_hormone,1.0,False,False,2025-06-25 08:39:44
